year,rating,num_votes,title,recent_film,awarded
1917,8.1,24,The Scarlet Letter,0,0
1917,7.0,41,Lost and Won,0,0
1917,6.3,23,Twin Kiddies,0,0
1917,5.4,12,The Courage of Silence,0,0
1917,5.0,505,Tillie Wakes Up,0,0
1917,5.8,26,The Spirit of '76,0,0
1917,4.8,33,A Modern Monte Cristo,0,0
1917,5.8,15,The Honor System,0,0
1917,5.6,26,The Gunfighter,0,0
1917,5.7,30,A Girl of the Timber Claims,0,0
1917,4.8,19,The Darling of Paris,0,0
1917,6.4,42,The Mystery of the Double Cross,0,0
1917,6.3,39,Great Expectations,0,0
1917,5.4,61,The Whip,0,0
1917,7.3,54,A Doll's House,0,0
1917,4.7,36,A Bit o' Heaven,0,0
1917,6.3,18,The Flame of Youth,0,0
1917,6.6,41,The Fires of Youth,0,0
1917,3.7,16,The Land of Long Shadows,0,0
1917,5.0,16,Man and Beast,0,0
1917,6.5,651,Wild and Woolly,0,1
1917,6.5,45,The Clodhopper,0,0
1917,6.3,15,Love or Justice,0,0
1917,5.2,28,The Great White Trail,0,0
1917,7.4,14,The Lone Wolf,0,0
1917,5.7,14,The Hater of Men,0,0
1917,6.5,18,The Fatal Ring,0,0
1917,6.2,714,The Little American,0,0
1917,5.2,28,The Sawdust Ring,0,0
1917,4.2,13,The Range Boss,0,0
1917,4.8,17,Borrowed Plumage,0,0
1917,6.5,19,Aladdin from Broadway,0,0
1917,7.0,93,The Unfortunate Marriage,0,0
1917,5.2,13,"The Girl, Glory",0,0
1917,6.0,19,The Hidden Spring,0,0
1917,6.1,58,Wolf Lowry,0,0
1917,3.3,19,The Submarine Eye,0,0
1917,4.2,35,Has Man the Right to Kill?,0,0
1917,6.0,15,The Law of the North,0,0
1917,5.1,25,The Railroad Raiders,0,0
1917,4.6,13,An Old Fashioned Young Man,0,0
1917,4.5,18,Paddy O'Hara,0,0
1917,5.9,104,A Mormon Maid,0,0
1917,6.3,23,She,0,0
1917,8.2,19,"Womanhood, the Glory of the Nation",0,0
1917,6.3,24,"In Again, Out Again",0,0
1917,6.8,24,The Square Deal Man,0,0
1917,4.6,22,The Pinch Hitter,0,0
1917,7.0,40,Souls Triumphant,0,0
1917,6.1,844,A Romance of the Redwoods,0,0
1917,4.8,47,The Fighting Gringo,0,0
1917,6.7,34,The Hand That Rocks the Cradle,0,0
1917,5.4,17,Captain of the Gray Horse Troop,0,0
1917,6.8,50,Kidnapped,0,0
1917,6.6,12,Happiness,0,0
1918,6.1,1151,Mickey,0,0
1918,6.6,46,The Eyes of Julia Deep,0,0
1918,6.7,23,Queen of the Sea,0,0
1918,5.6,41,Bread,0,1
1918,5.4,16,Riders of the Purple Sage,0,0
1918,6.2,17,The Mask,0,0
1918,8.5,34,On the Quiet,0,0
1918,7.8,16,The Secret Code,0,0
1918,6.0,21,The Hun Within,0,0
1918,4.8,100,The Craving,0,0
1918,5.4,26,Vive la France!,0,0
1918,6.3,21,Beans,0,0
1918,8.1,42,The Burden of Proof,0,0
1918,6.6,12,The Marriage Ring,0,0
1918,7.6,12,The Goat,0,0
1918,5.4,36,His Birthright,0,0
1918,6.2,65,He Comes Up Smiling,0,0
1918,6.5,49,Salome,0,0
1918,5.4,25,Till I Come Back to You,0,0
1918,6.3,22,A Fight for Millions,0,0
1918,5.8,638,Johanna Enlists,0,0
1918,5.8,16,Uncle Tom's Cabin,0,0
1918,5.2,525,A Pair of Silk Stockings,0,0
1918,6.6,15,The Deciding Kiss,0,0
1918,6.4,23,Bound in Morocco,0,0
1918,6.3,138,The Dream Lady,0,0
1918,7.0,21,Boston Blackie's Little Pal,0,0
1918,5.5,743,Shifting Sands,0,0
1918,7.5,24,The House of Mirth,0,0
1918,6.2,25,The Brass Bullet,0,0
